State Name,State Code,City Code,City Name,County Code,County Name
ALABAMA,01,0070,ALICEVILLE,107,PICKENS
HAWAII,15,9998,OAHU ISLAND,003,HONOLULU
HAWAII,15,9997,NIIHAU ISLAND,007,KAUAI
HAWAII,15,9996,MOLOKAI ISLAND,009,MAUI
HAWAII,15,9995,MAUI ISLAND,009,MAUI
HAWAII,15,9994,LANAI ISLAND,009,MAUI
HAWAII,15,9993,KAUAI ISLAND,007,KAUAI
HAWAII,15,9992,KAHOOLAWE ISLAND,009,MAUI
HAWAII,15,9991,HAWAII ISLAND,001,HAWAII
MAINE,23,9950,YORK HARBOR,031,YORK
MAINE,23,9900,YORK BEACH,031,YORK
MAINE,23,9800,YORK VILLAGE,031,YORK
HAWAII,15,9700,WHEELER AIR FORCE BASE (HISTORICAL),003,HONOLULU
MAINE,23,9700,YARMOUTH,005,CUMBERLAND
PENNSYLVANIA,42,9690,ZULLINGER,055,FRANKLIN
PENNSYLVANIA,42,9674,ZIONSVILLE,077,LEHIGH
PENNSYLVANIA,42,9673,ZIONHILL,017,BUCKS
PENNSYLVANIA,42,9672,ZION GROVE,107,SCHUYLKILL
PENNSYLVANIA,42,9671,ZIEGLERVILLE,091,MONTGOMERY
PENNSYLVANIA,42,9670,ZELIENOPLE,019,BUTLER
PENNSYLVANIA,42,9669,ZERBE,107,SCHUYLKILL
PENNSYLVANIA,42,9660,YUKON,129,WESTMORELAND
ILLINOIS,17,9650,ZION,097,LAKE
PENNSYLVANIA,42,9650,YOUNGWOOD,129,WESTMORELAND
ILLINOIS,17,9640,ZEIGLER,055,FRANKLIN
PENNSYLVANIA,42,9640,YOUNGSVILLE,123,WARREN
ILLINOIS,17,9630,YORKVILLE,093,KENDALL
PENNSYLVANIA,42,9630,YOUNGSTOWN,129,WESTMORELAND
PENNSYLVANIA,42,9624,YORK SPRINGS,001,ADAMS
PENNSYLVANIA,42,9622,NEW SALEM,133,YORK
ILLINOIS,17,9620,YATES CITY,095,KNOX
PENNSYLVANIA,42,9620,YORK HAVEN,133,YORK
